,Company,FAST_mean,FAST_mean_norm
0,002475.SZ,2246709.15203,-0.176381669838
1,002470.SZ,1138794.98032,-0.273571099682
2,600036.SH,20782330.6126,1.44961655959
3,002146.SZ,1789176.19345,-0.216517781926
4,601988.SH,52149533.0122,4.20123811554
5,000895.SZ,4429710.20939,0.0151174855402
6,600048.SH,5402828.54491,0.100482235459
7,000718.SZ,628312.333251,-0.318352111317
8,002304.SZ,4732042.47255,0.0416389445392
9,600031.SH,4054059.24411,-0.0178357016911
10,601688.SH,4440218.21405,0.0160392780469
11,002230.SZ,1454241.38176,-0.245899230611
12,000750.SZ,578272.952518,-0.322741710266
13,601989.SH,7099207.74784,0.249293516822
14,601818.SH,9915990.02836,0.49638979091
15,000009.SZ,1286461.3831,-0.260617376497
16,600446.SH,733026.714242,-0.309166263492
17,600583.SH,2863631.56645,-0.122263454505
18,601618.SH,2760891.91935,-0.131276072972
19,000876.SZ,1290618.45051,-0.260252706542
20,002252.SZ,3014246.09032,-0.109051113626
21,601933.SH,1880686.18387,-0.208490261364
22,002049.SZ,454615.651798,-0.333589285701
23,600118.SH,2002545.35012,-0.197800423476
24,300027.SZ,1873809.78658,-0.209093478788
25,600606.SH,412306.910797,-0.337300730613
26,601169.SH,5791029.8819,0.13453637753
27,600804.SH,1879789.65157,-0.208568907766
28,300168.SZ,931317.803875,-0.291771596616
29,000728.SZ,1890192.81774,-0.207656311994
30,000983.SZ,1672865.12344,-0.226720924794
31,002027.SZ,140090.757669,-0.361180317491
32,600637.SH,2746663.42614,-0.132524237477
33,600522.SH,878198.602884,-0.296431366289
34,601668.SH,8786958.25452,0.397347864037
35,600111.SH,2906991.22619,-0.118459819967
36,600008.SH,1395012.90323,-0.251094923749
37,601899.SH,3499522.90824,-0.0664812300968
38,600015.SH,5432495.94322,0.103084745293
39,000783.SZ,2196327.86618,-0.18080126169
40,600028.SH,46682601.4102,3.72166309163
41,002236.SZ,1749015.19508,-0.220040820653
42,002415.SZ,5533167.69839,0.111915962309
43,000625.SZ,3895052.02325,-0.0317842741804
44,600535.SH,3943909.6743,-0.0274983399719
45,601288.SH,69991310.5543,5.76637035322
46,000651.SZ,8842991.24095,0.402263239382
47,600074.SH,353045.528518,-0.342499310162
48,600704.SH,628090.251171,-0.318371592999
49,601186.SH,4629973.27198,0.032685139577
50,002174.SZ,486086.797649,-0.330828545925
51,600085.SH,2243030.41851,-0.176704378964
52,600703.SH,3165990.13101,-0.0957396882705
53,600585.SH,6654472.91015,0.210280092848
54,601390.SH,4406007.98097,0.0130382576309
55,600309.SH,3574513.67399,-0.0599028236162
56,600340.SH,1386102.06226,-0.251876608445
57,601958.SH,2101404.17851,-0.189128241631
58,000826.SZ,1791489.20546,-0.216314877834
59,000157.SZ,2910885.49755,-0.11811820324
60,601608.SH,237325.7911,-0.352650579627
61,601009.SH,2338705.29454,-0.168311502611
62,000069.SZ,1475800.49925,-0.24400800258
63,000402.SZ,1720147.96874,-0.222573137092
64,601901.SH,1984756.28877,-0.199360931298
65,002424.SZ,473228.593548,-0.331956504712
66,300124.SZ,1805856.00911,-0.215054580339
67,601628.SH,28967881.2737,2.1676766964
68,600050.SH,6711457.80371,0.215278972235
69,000938.SZ,500086.460085,-0.329600455117
70,601872.SH,904406.788316,-0.294132308596
71,601118.SH,2395288.21828,-0.163347885179
72,601939.SH,3869802.95272,-0.0339991955454
73,601992.SH,1861722.81584,-0.210153782758
74,002508.SZ,920965.350806,-0.292679743688
75,002081.SZ,2032759.90769,-0.195149915253
76,002074.SZ,156918.993324,-0.359704096074
77,600887.SH,6444532.29859,0.191863496275
78,600372.SH,2349389.18855,-0.167374280583
79,600383.SH,3637067.37558,-0.0544154323117
80,601607.SH,2394457.29346,-0.163420776303
81,000156.SZ,204430.6281,-0.355536238299
82,601099.SH,1044916.73847,-0.281806370097
83,600518.SH,3435952.40047,-0.0720578185755
84,600196.SH,3714793.75003,-0.0475970503377
85,002450.SZ,1960774.29794,-0.201464700773
86,000792.SZ,869892.651829,-0.297159988296
87,601718.SH,967049.435484,-0.288637114729
88,600588.SH,1617524.32771,-0.231575579171
89,600362.SH,2558378.38958,-0.149041144488
90,600100.SH,1705543.72975,-0.2238542631
91,601333.SH,1459097.63202,-0.245473226318
92,600170.SH,499497.942828,-0.32965208155
93,600009.SH,1430549.31473,-0.247977567133
94,600690.SH,4144842.47898,-0.00987193422398
95,000063.SZ,3645014.72938,-0.0537182674915
96,600030.SH,11196312.7858,0.608703399659
97,000002.SZ,7749942.25241,0.306377826324
98,600297.SH,268805.645161,-0.349889075942
99,600498.SH,1179224.85666,-0.270024474203
100,600066.SH,1971956.35889,-0.200483778102
101,002352.SZ,91825.0011909,-0.365414328999
102,601919.SH,2356977.55315,-0.166708607332
103,002065.SZ,2542270.51727,-0.150454173553
104,603993.SH,1192640.91521,-0.268847578813
105,002131.SZ,352377.530002,-0.34255790892
106,600038.SH,858163.98871,-0.298188860487
107,601633.SH,912282.44979,-0.293441432834
108,601018.SH,2985703.22581,-0.111554976108
109,600827.SH,1472054.23189,-0.244336635969
110,000060.SZ,1184017.77156,-0.26960402587
111,002673.SZ,735810.276605,-0.308922081365
112,000100.SZ,1953329.96397,-0.202117739241
113,600705.SH,1156321.17195,-0.272033651552
114,300144.SZ,468842.562403,-0.332341260028
115,000768.SZ,2107708.90825,-0.188575172536
116,002310.SZ,743385.609646,-0.30825755128
117,600886.SH,3307529.66973,-0.0833234312903
118,000623.SZ,1201348.50412,-0.268083723974
119,002594.SZ,1777915.78979,-0.217505577045
120,601398.SH,92856238.7834,7.77214787169
121,002202.SZ,1963387.30245,-0.201235480473
122,300315.SZ,967965.448517,-0.288556759421
123,000425.SZ,1401665.96616,-0.25051129786
124,600000.SH,14460171.0409,0.895018469011
125,600737.SH,537948.710063,-0.326279069236
126,002299.SZ,942519.017458,-0.290788993821
127,600519.SH,16557396.9852,1.07899318382
128,600037.SH,1070356.05715,-0.279574759616
129,600820.SH,904354.906312,-0.294136859835
130,600276.SH,4720478.71912,0.0406245387024
131,600900.SH,5834360.70922,0.138337482805
132,601600.SH,3005502.44229,-0.109818131676
133,000959.SZ,293347.381361,-0.347736203987
134,000568.SZ,2323503.33684,-0.169645062231
135,601727.SH,3730402.08874,-0.0462278418027
136,601111.SH,2794739.21034,-0.128306890885
137,002292.SZ,1019483.80955,-0.28403742005
138,300017.SZ,1133818.80623,-0.274007624041
139,000559.SZ,1570778.10395,-0.235676292883
140,601866.SH,1699010.0,-0.224427420738
141,600795.SH,3511565.29033,-0.0654248375717
142,600485.SH,239751.544742,-0.352437785514
143,600188.SH,1973876.98548,-0.200315295192
144,600369.SH,2045496.27909,-0.194032643982
145,002385.SZ,1050999.63524,-0.281272760831
146,600649.SH,1994461.06344,-0.198509600444
147,601788.SH,2749009.19355,-0.132318459987
148,002500.SZ,1590641.62903,-0.233933807114
149,000793.SZ,1734155.58199,-0.221344348815
150,600332.SH,2558247.68348,-0.149052610404
151,601006.SH,9971540.71215,0.501262857274
152,600549.SH,1698834.17935,-0.224442844232
153,300104.SZ,1906059.14968,-0.206264471549
154,601166.SH,16085409.578,1.03758908577
155,600739.SH,1998969.70871,-0.198114089064
156,600999.SH,4845664.34642,0.0516061833575
157,600157.SH,699940.019832,-0.312068723851
158,600068.SH,1336878.0243,-0.256194683172
159,601117.SH,2841248.87097,-0.124226929175
160,000001.SZ,6326537.8085,0.181512678937
161,002426.SZ,275594.959143,-0.349293497718
162,601669.SH,834979.306452,-0.300222687752
163,600177.SH,1509686.31973,-0.241035440575
164,600682.SH,416508.51534,-0.336932153732
165,601998.SH,14374305.6065,0.887486105201
166,600871.SH,122465.322581,-0.362726471544
167,600256.SH,2173948.28279,-0.182764463359
168,601318.SH,18937820.9786,1.28781084914
169,300070.SZ,1787446.2238,-0.216669539858
170,600436.SH,1245475.07118,-0.264212814112
171,000917.SZ,998601.941089,-0.285869237841
172,300059.SZ,1002094.01156,-0.285562903336
173,600104.SH,13575924.8935,0.817449844022
174,600376.SH,1027601.11633,-0.283325346464
175,600271.SH,1779942.86129,-0.217327756481
176,300133.SZ,1164187.87297,-0.271343561826
177,600718.SH,1548491.34062,-0.237631352106
178,000776.SZ,6029371.19074,0.155444365267
179,002195.SZ,308980.564356,-0.34636481604
180,000977.SZ,1230989.43548,-0.265483535897
181,002241.SZ,3274330.37423,-0.0862357693421
182,600688.SH,517668.387097,-0.328058117719
183,002466.SZ,238254.075097,-0.352569147875
184,002411.SZ,177690.898641,-0.357881924568
185,000540.SZ,670077.347907,-0.31468836365
186,000627.SZ,354793.369554,-0.3423459845
187,002558.SZ,146828.258556,-0.360589284461
188,002142.SZ,2597117.74766,-0.145642816151
189,600021.SH,962951.689497,-0.288996580837
190,601888.SH,2880211.6129,-0.120809004961
191,000738.SZ,1096505.95331,-0.277280815226
192,002044.SZ,139675.197581,-0.361216771622
193,002555.SZ,224752.9,-0.353753509934
194,000423.SZ,2141630.8725,-0.185599439894
195,002602.SZ,254786.225806,-0.351118899884
196,601555.SH,892415.086774,-0.295184255277
197,601800.SH,506760.342309,-0.3290150029
198,600547.SH,2283801.68703,-0.173127805577
199,000725.SZ,2531526.04654,-0.151396709546
200,600837.SH,7604906.57202,0.293654877701
201,000858.SZ,6519948.97391,0.198479264773
202,300033.SZ,167430.908851,-0.358781960494
203,000555.SZ,207793.191135,-0.355241264561
204,600893.SH,2443355.67057,-0.159131269486
205,300072.SZ,835895.422434,-0.300142323413
206,600115.SH,1845263.32187,-0.21159765709
207,000686.SZ,1273855.46837,-0.261723203732
208,601877.SH,2278488.5553,-0.173593888832
209,600153.SH,1522141.15368,-0.239942866582
210,000415.SZ,346116.063861,-0.343107182808
211,000333.SZ,3083754.01307,-0.102953677963
212,600029.SH,1680112.37823,-0.22608517468
213,000671.SZ,913145.560753,-0.293365718248
214,002007.SZ,1467576.87099,-0.244729402994
215,600061.SH,274633.843678,-0.349377809542
216,002465.SZ,1238554.44639,-0.264819911299
217,601088.SH,23655595.993,1.70166769427
218,600352.SH,2454689.11754,-0.158137066797
219,600018.SH,10356379.3073,0.535022009925
220,000413.SZ,1225654.67585,-0.265951516415
221,600674.SH,2384126.06158,-0.164327061791
222,600663.SH,2266226.00897,-0.1746695948
223,002024.SZ,3390843.97956,-0.0760148594914
224,600016.SH,17244713.4495,1.13928656845
225,600489.SH,2300323.19058,-0.171678491585
226,000008.SZ,135355.423628,-0.361595714664
227,600089.SH,2791007.61272,-0.128634237401
228,601377.SH,2002126.34839,-0.197837179518
229,601328.SH,12419416.5293,0.715997591314
230,600233.SH,144438.870968,-0.360798888439
231,600660.SH,1659700.31968,-0.227875779388
232,000961.SZ,817840.431612,-0.301726159335
233,600221.SH,2047106.93065,-0.193891352977
234,000538.SZ,5833073.40485,0.138224556749
235,000338.SZ,1700589.02293,-0.224288904288
236,600109.SH,2518493.12546,-0.152539995011
237,000503.SZ,1721533.04687,-0.222451634039
238,002183.SZ,707782.390953,-0.311380768415
239,601601.SH,10527687.5403,0.550049662715
240,600816.SH,659590.130588,-0.315608332632
241,000630.SZ,1308563.16205,-0.258678544637
242,600019.SH,6483954.74453,0.195321747051
243,601216.SH,1407236.12903,-0.250022667091
244,002152.SZ,1314705.77102,-0.258139697243
245,600895.SH,1025382.35528,-0.283519982589
246,601857.SH,122781332.975,10.3972635321
247,600150.SH,2686062.33702,-0.137840339978
248,002153.SZ,747703.115621,-0.30787880719
249,000839.SZ,1032974.44683,-0.282853982399
250,000963.SZ,1320018.6236,-0.257673638476
251,601766.SH,4437727.60927,0.0158207950047
252,000709.SZ,947281.379407,-0.290371225681
253,600685.SH,749433.050763,-0.307727052285
254,600406.SH,3008683.4898,-0.109539081004
255,600741.SH,2470539.31575,-0.156746641648
256,002008.SZ,1527733.77842,-0.239452265392
257,600373.SH,1403908.53563,-0.250314573191
258,600482.SH,475447.145161,-0.33176188696
259,600010.SH,2977781.60202,-0.112249883818
260,601336.SH,2256226.08521,-0.175546816983
261,002456.SZ,1586761.38643,-0.234274193197
262,600570.SH,1662683.13757,-0.22761411799
263,600060.SH,1399061.88982,-0.250739734954
264,600415.SH,1427658.50521,-0.24823115729
265,300024.SZ,1505524.27338,-0.241400547297
266,600208.SH,1853521.19732,-0.210873252414
267,300251.SZ,590775.405692,-0.321644958977
